stage,model,MAE,RMSE,R2
exp3_degree_tsd_realign,Linear Regression,2.3012440088030544,2.897493905071528,-50.48996485652594
exp3_degree_tsd_realign,Ridge (alpha=1.0),2.3279176742433276,2.9007908493121977,-50.60720832967978
exp3_degree_tsd_realign,Random Forest,2.696208565826953,2.97329612682027,-53.21929465185353
exp3_degree_tsd_realign,Lasso (alpha=0.1),2.6042294024010775,3.0550497674140003,-56.24190940634438
exp3_degree_tsd_realign,평균 베이스라인,5.265460030165939,5.2809203699605405,-170.03963891059433
