stage,model,MAE,RMSE,R2
exp4_split_collinearity,Linear Regression,2.6506451188102567,3.141136477790861,-14.59581226559066
exp4_split_collinearity,Ridge (alpha=1.0),2.7355081172077655,3.188856909480432,-15.073277776384312
exp4_split_collinearity,Random Forest,3.076483625085465,3.3451916076815227,-16.68790444235618
exp4_split_collinearity,Lasso (alpha=0.1),3.130816296415342,3.446892964708436,-17.77975756121513
exp4_split_collinearity,평균 베이스라인,5.907407407407391,5.960714331212006,-55.16050488959656
