stage,model,MAE,RMSE,R2
exp2_chromatic_classifier,Linear Regression,2.281328403139772,2.8909620391654807,-50.25807725642564
exp2_chromatic_classifier,Ridge (alpha=1.0),2.310087715422399,2.8946910266283936,-50.390395840310134
exp2_chromatic_classifier,Random Forest,2.672306723430129,2.959882665538918,-52.73119799961921
exp2_chromatic_classifier,Lasso (alpha=0.1),2.6185562251888106,3.0652051257684185,-56.623100105964724
exp2_chromatic_classifier,평균 베이스라인,5.265460030165939,5.2809203699605405,-170.03963891059433
