stage,model,MAE,RMSE,R2
exp1_feature_engineering,Ridge (alpha=1.0),2.3425809524411156,2.9655081295484957,-52.93563188476654
exp1_feature_engineering,Linear Regression,2.3167786239071355,2.9673490446085977,-53.002616516986535
exp1_feature_engineering,Random Forest,2.6821623026450347,2.969662872729701,-53.08686780497935
exp1_feature_engineering,Lasso (alpha=0.1),2.625689576942186,3.078383931572342,-57.119664699506444
exp1_feature_engineering,평균 베이스라인,5.265460030165939,5.2809203699605405,-170.03963891059433
