song_id,sheet,artist,title,duration_sec,key,tempo_bpm,release_date,has_chords,n_sections,release_year,total_measures,borrowed_ratio,unmatched_ratio,rest_ratio,chord_change_rate,key_mismatch_suspect,mode_major,mode_minor,gen_3.5세대,gen_3세대,gen_4세대,grp_걸그룹,grp_보이그룹,duration_sec_scaled,tempo_bpm_scaled,n_sections_scaled,total_measures_scaled,borrowed_ratio_scaled,unmatched_ratio_scaled,rest_ratio_scaled,chord_change_rate_scaled
3세대 걸그룹::0119,3세대 걸그룹,러블리즈,Destiny,215.0,Dm,106.0,2016-04-25,True,6,2016,48.0,0.1875,0.3541666666666667,0.0,0.9361702127659575,True,False,True,False,True,False,True,False,0.96707470847282,-0.701907843425608,-0.46509324362978177,-0.27292479001386105,0.5799045073627321,5.442931480449869,-0.17569083961954554,0.9787894388805595
3세대 걸그룹::0050,3세대 걸그룹,트와이스,CHEER UP,208.0,Db,173.0,2016-04-25,True,7,2016,56.0,0.21428571428571427,0.0,0.0,0.7090909090909091,False,True,False,False,True,False,True,False,0.644924714069837,2.593320259809325,0.1980397037391327,0.3809112922957677,0.8013336677449173,-0.3927941357821456,-0.17569083961954554,0.03474326964773429
3세대 걸그룹::0101,3세대 걸그룹,아이오아이,Dream Girls,218.0,G,140.0,2016-05-04,True,6,2016,48.0,0.3333333333333333,0.0,0.0,0.6170212765957447,False,True,False,False,True,False,True,False,1.105138991788384,0.9702974626936116,-0.46509324362978177,-0.27292479001386105,1.7854632694435189,-0.3927941357821456,-0.17569083961954554,-0.3480216166851659
3세대 걸그룹::0100,3세대 걸그룹,아이오아이,벛꽃이 지면,204.0,G,100.0,2016-05-04,True,8,2016,56.0,0.10714285714285714,0.03571428571428571,0.0,0.8,False,True,False,False,True,False,True,False,0.4608390029824182,-0.9970028974466467,0.8611726511080472,0.3809112922957677,-0.08438297378382392,0.1956823969471331,-0.17569083961954554,0.41268338850585007
3세대 걸그룹::0130,3세대 걸그룹,EXID,L.I.E,211.0,Ebm,155.0,2016-06-01,True,11,2016,88.0,0.011363636363636364,0.0,0.0,0.47126436781609193,False,False,True,False,True,False,True,False,0.7829889973854012,1.7080350977462084,2.8505714932147908,2.996255621534283,-0.8761599715140623,-0.3927941357821456,-0.17569083961954554,-0.9539828343994742
3세대 걸그룹::0141,3세대 걸그룹,다이아,그 길에서,202.0,Db,116.0,2016-06-14,True,13,2016,104.0,0.11538461538461539,0.0,0.0,0.8640776699029126,False,True,False,False,True,False,True,False,0.3687961474387088,-0.2100827533905434,4.176837387952619,4.30392778615354,-0.016250924435459106,-0.3927941357821456,-0.17569083961954554,0.6790761324776866
3세대 걸그룹::0037,3세대 걸그룹,여자친구,너 그리고 나,194.0,D,125.0,2016-07-11,True,7,2016,56.0,0.30357142857142855,0.017857142857142856,0.0,0.7818181818181819,False,True,False,False,True,False,True,False,0.0006247252638711651,0.23255982764101477,0.1980397037391327,0.3809112922957677,1.5394308690188685,-0.09855586941750626,-0.17569083961954554,0.3370953647342269
3세대 걸그룹::0012,3세대 걸그룹,BLACKPINK,붐바야,240.0,fm,125.0,2016-08-08,True,6,2016,46.0,0.0,0.0,0.021739130434782608,0.28888888888888886,False,False,True,False,True,False,True,False,2.1176104027691873,0.23255982764101477,-0.46509324362978177,-0.43638381059126824,-0.9700996153125653,-0.3927941357821456,0.5214328237892387,-1.7121799464075562
3세대 걸그룹::0011,3세대 걸그룹,BLACKPINK,휘파람,211.0,C#m,103.0,2016-08-08,True,6,2016,48.0,0.10416666666666667,0.0,0.0,0.3404255319148936,False,False,True,False,True,False,True,False,0.7829889973854012,-0.8494553704361274,-0.46509324362978177,-0.27292479001386105,-0.10898621382628888,-0.3927941357821456,-0.17569083961954554,-1.4979245315087946
3세대 걸그룹::0103,3세대 걸그룹,아이오아이,너무너무너무,207.0,Em,206.0,2016-10-17,True,7,2016,56.0,0.0,0.0,0.0,0.4909090909090909,False,False,True,False,True,False,True,False,0.5989032862979823,4.216343056925038,0.1980397037391327,0.3809112922957677,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-0.8723130156117433
3세대 걸그룹::0051,3세대 걸그룹,트와이스,TT,213.0,G,130.0,2016-10-24,True,6,2016,48.0,0.041666666666666664,0.0,0.0,0.6808510638297872,False,True,False,False,True,False,True,False,0.8750318529291106,0.47847237265854703,-0.46509324362978177,-0.27292479001386105,-0.6256542547180548,-0.3927941357821456,-0.17569083961954554,-0.08265940557202092
3세대 걸그룹::0013,3세대 걸그룹,BLACKPINK,불장난,197.0,Em,97.0,2016-11-01,True,6,2016,48.0,0.020833333333333332,0.0,0.0,1.0,False,False,True,False,True,False,True,False,0.13868900857943528,-1.144550424457166,-0.46509324362978177,-0.27292479001386105,-0.79787693501531,-0.3927941357821456,-0.17569083961954554,1.2441516499937044
3세대 걸그룹::0107,3세대 걸그룹,마마무,데칼코마니,216.0,Dm,116.0,2016-11-07,True,8,2016,64.0,0.25,0.015625,0.0,0.6666666666666666,False,False,True,False,True,False,True,False,1.0130961362446746,-0.2100827533905434,0.8611726511080472,1.0347473746053963,1.096572548254498,-0.13533565271308617,-0.17569083961954554,-0.14162878581938657
3세대 걸그룹::0144,3세대 걸그룹,에이프릴,봄의 나라 이야기,203.0,A,108.0,2017-01-04,True,11,2017,88.0,0.09090909090909091,0.10227272727272728,0.0,0.8850574712643678,False,True,False,False,True,False,True,False,0.4148175752105635,-0.603542825418595,2.8505714932147908,2.996255621534283,-0.21858246492454225,1.2923886624880618,-0.17569083961954554,0.7662963272995352
3세대 걸그룹::0078,3세대 걸그룹,레드벨벳,Rookie,195.0,G#m,164.0,2017-02-01,True,6,2017,48.0,0.041666666666666664,0.0,0.0,0.2553191489361702,False,False,True,False,True,False,True,False,0.04664615303572587,2.150677678777767,-0.46509324362978177,-0.27292479001386105,-0.6256542547180548,-0.3927941357821456,-0.17569083961954554,-1.851740812992988
3세대 걸그룹::0052,3세대 걸그룹,트와이스,KNOCK KNOCK,195.0,E,130.0,2017-02-20,True,6,2017,48.0,0.0,0.0,0.0,0.574468085106383,False,True,False,False,True,False,True,False,0.04664615303572587,0.47847237265854703,-0.46509324362978177,-0.27292479001386105,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-0.5249297574272623
3세대 걸그룹::0038,3세대 걸그룹,여자친구,FINGERTIP,209.0,Gm,122.0,2017-03-06,True,7,2017,56.0,0.07142857142857142,0.0,0.0,0.5272727272727272,False,False,True,False,True,False,True,False,0.6909461418416917,0.08501230063049538,0.1980397037391327,0.3809112922957677,-0.37962185429340434,-0.3927941357821456,-0.17569083961954554,-0.7211369680684974
3세대 걸그룹::0132,3세대 걸그룹,브레이브걸스,롤린,198.0,Bbm,125.0,2017-03-07,True,10,2017,80.0,0.0,0.0,0.0,0.7215189873417721,False,False,True,False,True,False,True,False,0.18471043635128997,0.23255982764101477,2.1874385458458763,2.342419539224654,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,0.08641103273213468
3세대 걸그룹::0116,3세대 걸그룹,러블리즈,"지금, 우리",193.0,Am,125.0,2017-05-02,True,6,2017,48.0,0.041666666666666664,0.16666666666666666,0.0,0.851063829787234,False,False,True,False,True,False,True,False,-0.04539670250798354,0.23255982764101477,-0.46509324362978177,-0.27292479001386105,-0.6256542547180548,2.353429683621155,-0.17569083961954554,0.6249731573963659
3세대 걸그룹::0053,3세대 걸그룹,트와이스,SIGNAL,197.0,Dm,104.0,2017-05-15,True,6,2017,48.0,0.041666666666666664,0.0,0.0,0.46808510638297873,False,False,True,False,True,False,True,False,0.13868900857943528,-0.8002728614326209,-0.46509324362978177,-0.27292479001386105,-0.6256542547180548,-0.3927941357821456,-0.17569083961954554,-0.9672001092825043
3세대 걸그룹::0135,3세대 걸그룹,청하,Why Don't You Know,197.0,Am,100.0,2017-06-07,True,6,2017,48.0,0.020833333333333332,0.0,0.0,0.8936170212765957,False,False,True,False,True,False,True,False,0.13868900857943528,-0.9970028974466467,-0.46509324362978177,-0.27292479001386105,-0.79787693501531,-0.3927941357821456,-0.17569083961954554,0.8018812981384624
3세대 걸그룹::0015,3세대 걸그룹,BLACKPINK,마지막처럼,213.0,Fm,125.0,2017-06-22,True,7,2017,56.0,0.0,0.0,0.0,0.509090909090909,False,False,True,False,True,False,True,False,0.8750318529291106,0.23255982764101477,0.1980397037391327,0.3809112922957677,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-0.7967249918401205
3세대 걸그룹::0112,3세대 걸그룹,마마무,나로 말할것 같으면,212.0,Am,120.0,2017-06-22,True,6,2017,48.0,0.041666666666666664,0.0,0.0,0.5957446808510638,False,False,True,False,True,False,True,False,0.8290104251572559,-0.013352717376517543,-0.46509324362978177,-0.27292479001386105,-0.6256542547180548,-0.3927941357821456,-0.17569083961954554,-0.43647568705621437
3세대 걸그룹::0079,3세대 걸그룹,레드벨벳,빨간 맛,191.0,A,126.0,2017-07-09,True,8,2017,60.0,0.016666666666666666,0.0,0.0,0.576271186440678,False,True,False,False,True,False,True,False,-0.13743955805169294,0.2817423366445212,0.8611726511080472,0.7078293334505821,-0.8323214710747611,-0.3927941357821456,-0.17569083961954554,-0.5174336497686991
3세대 걸그룹::0039,3세대 걸그룹,여자친구,귀를 기울이면,212.0,E,114.0,2017-08-01,True,13,2017,102.0,0.29411764705882354,0.23529411764705882,0.0,0.7920792079207921,False,True,False,False,True,False,True,False,0.8290104251572559,-0.3084477713975563,4.176837387952619,4.1404687655761325,1.4612794006486856,3.484227726904867,-0.17569083961954554,0.3797539524073212
3세대 보이그룹::0068,3세대 보이그룹,워너원,에너제틱,189.0,Dm,125.0,2017-08-07,True,7,2017,56.0,0.25,0.0,0.0,0.8,False,False,True,False,True,False,False,True,-0.22948241359540236,0.23255982764101477,0.1980397037391327,0.3809112922957677,1.096572548254498,-0.3927941357821456,-0.17569083961954554,0.41268338850585007
